frontend_id,backend_id,frequency_sales,frequency_add,recency,nmv
7171591,4325483,1,36,3,1403000
5760387,2918131,5,37,6,1403000
215470,215470,5,37,3,1403300
5137416,2305833,6,36,6,1410900
11254281,8378098,4,36,18,1412060
2007940,2007219,3,35,2,1415000
16370770,13352887,3,35,5,1416000
188148,188148,2,36,1,1424000
1873350,1872889,3,36,3,1428000
10527321,7654227,4,37,5,1442000
131078,131078,4,36,1,1442600
5612108,2771802,6,36,4,1447078
10548666,7675571,4,35,5,1452800
9265907,6423754,4,35,11,1455000
10246430,7373427,4,37,3,1456050
15955484,12939318,5,35,13,1462600
711355,711358,4,35,10,1463100
13880169,11002366,2,36,17,1463230
10261571,7388560,4,36,2,1466700
8403145,5561659,3,36,3,1467500
66630,66630,4,35,3,1471443
15483590,12504040,2,35,6,1471554
376548,376548,3,37,8,1473500
7627883,4780335,4,35,1,1475400
9193246,6351096,5,35,17,1484000
288333,288333,3,35,5,1485588
2121173,2120121,4,37,12,1488000
806878,806955,8,35,3,1491000
13809879,10932135,3,36,4,1495000
5840849,2998285,2,37,2,1496000
8518570,5677028,3,37,5,1497000
13392160,10514663,3,37,12,1498000
15434152,12460169,5,37,9,1499500
9864823,6992616,5,37,1,1501890
1500013,1500504,3,37,3,1509400
762471,762491,3,37,16,1515880
7748543,4901432,3,37,4,1519000
7767117,4920594,2,36,2,1537000
6910481,4064837,6,36,2,1537089
7455490,4608391,4,35,1,1539000
830758,830829,4,35,5,1548000
12835836,9958565,4,35,16,1550799
7423380,4576437,8,36,4,1553520
16699129,13679618,7,37,2,1564888
9880205,7007983,5,37,1,1565850
10018863,7146514,4,36,9,1566575
12282564,9405762,9,35,1,1570050
8016413,5175353,3,37,3,1571660
5654030,2813546,7,35,6,1585149
8517028,5675485,4,37,1,1586500
627397,627397,1,36,2,1587000
14490843,11612575,3,35,4,1593000
9159917,6317771,4,36,8,1593000
741474,741484,2,36,1,1600200
1516323,1516810,5,35,4,1612900
11223895,8347752,4,36,2,1621000
1434553,1434502,4,37,10,1621000
983666,983759,3,35,5,1624850
11501869,8625467,5,37,4,1627678
5842414,2999842,5,36,3,1627900
14848636,11942700,5,35,2,1630900
15538297,12552952,5,36,2,1631100
1188196,1188191,5,36,1,1631500
17029554,14008805,6,35,1,1635500
1951027,1950426,2,35,3,1639299
7295385,4449017,8,35,5,1640366
896991,897071,2,35,6,1648500
9971086,7098799,8,36,3,1651997
6933224,4087535,5,36,5,1653209
1438584,1438530,5,36,3,1656898
977120,977205,4,37,2,1658900
9816127,6943949,10,37,6,1662050
7583927,4736449,6,36,3,1662800
32435,32435,3,35,6,1664200
11639119,8762516,4,37,1,1673800.01
5416473,2583516,3,36,8,1680020
1086660,1086681,1,35,4,1680500
13438666,10560765,4,37,4,1691350
140287,140287,5,36,2,1694500
8103402,5262258,5,35,3,1694900
199861,199861,8,35,4,1695600
9607583,6737005,6,36,1,1705000
1425860,1425811,11,36,6,1707950
80696,80696,10,36,1,1710688
5697073,2856387,9,35,2,1717050
12678982,9801992,6,36,2,1718110
12923803,10046509,11,36,7,1721800
12551721,9674775,7,37,12,1742101
12751395,9874164,8,37,2,1749000
11414,11414,5,36,6,1751100
17400634,14378680,1,37,1,1755000
8162292,5321116,4,36,3,1763000
9652570,6781978,5,35,2,1767000
9724520,6853891,14,35,2,1767958
1779875,1779513,5,35,6,1769664
8586627,5745013,4,35,3,1771129.38
9780925,6908778,5,35,1,1775150
361900,361900,6,37,1,1786600
9164716,6322569,3,35,16,1798000
